,Topic,Count,Name
0,-1,11916,-1_zeit_muss_viele_deutschland
1,300,376,300_dollar_aktien_euro_wirtschaft
2,197,312,197_airlines_aerotelegraph_flüge_flugzeug
3,323,312,323_trainer_bayern_mannschaft_bundesliga
4,207,290,207_trump_trumps_donald_demokraten
5,314,280,314_spd_scholz_merkel_karrenbauer
6,280,223,280_schulen_schüler_unterricht_schülern
7,296,220,296_tesla_volkswagen_co2_elektro
8,35,210,35_ferrari_hamilton_mercedes_leclerc
9,285,195,285_impfstoff_virus_coronavirus_19
10,237,173,237_beethoven_beethovens_konzert_orchester
11,325,161,325_bayern_flick_münchen_bundesliga
12,283,159,283_infektionen_neuinfektionen_coronavirus_todesfälle
13,261,154,261_unfall_a3_jährige_krankenhaus
14,277,136,277_salz_kochen_zucker_butter
15,218,133,218_netflix_wars_joker_filme
16,274,133,274_fleisch_wolf_wölfe_hunde
17,305,117,305_maaßen_seehofer_profiling_racial
18,289,116,289_mutter_sarah_ärzte_rösslhumer
19,306,112,306_mieten_scholz_halliday_zinsen
20,276,108,276_wasser_feuchtigkeit_reinigen_luftfeuchtigkeit
21,192,104,192_explosion_brand_feuer_ammoniumnitrat
22,216,101,216_biathlon_geiger_vierschanzentournee_schmid
23,309,93,309_frankfurt_ausbau_straße_darmstadt
24,223,92,223_djokovic_tennis_federer_slam
25,247,87,247_lukaschenko_proteste_belarus_tichanowskaja
26,312,85,312_fußball_maddie_olympischen_mccann
27,238,83,238_xbox_playstation_games_konsole
28,243,80,243_brexit_großbritannien_britische_britischen
29,155,80,155_wallow_bryant_gestorben_gremliza
31,298,79,298_emissionen_co2_co₂_klimaschutz
32,217,79,217_henssler_jeffress_mälzer_tarzan
30,273,79,273_arbeit_arbeiten_fridays_homeoffice
33,318,76,318_liverpool_manchester_fc_chelsea
34,209,74,209_türkei_erdogan_türkische_türkischen
35,281,69,281_lockdown_rki_neuinfektionen_bund
36,263,69,263_biskin_lardi_bloy_mishra
37,214,69,214_china_hongkong_chinas_chinesischen
38,293,65,293_prinz_harry_instagram_queen
39,246,64,246_smartphone_samsung_s20_megapixel
40,279,62,279_rosen_pflanzen_garten_blüten
41,220,60,220_italien_venedig_virus_italiener
