,Topic,Count,Name
0,-1,10159,-1_wenn_dann_mehr_über
1,0,4328,0_geschwindigkeitsanzeige_geschwindigkeitsbegrenzung_geschwindigkeitsbereiche_geschwindigkeitsgrenzwerte
2,145,350,145_spd_scholz_karrenbauer_thüringen
3,59,319,59_trump_trumps_donald_präsident
4,73,255,73_viele_zeit_menschen_mehr
5,32,244,32_airlines_flugzeug_flugzeuge_aerotelegraph
6,49,243,49_smartphone_apple_iphone_smartphones
7,152,240,152_dollar_milliarden_euro_aktien
8,7,232,7_ferrari_hamilton_mercedes_fahrer
10,128,221,128_instagram_mutter_mode_immer
9,80,221,80_schulen_schule_lehrer_unterricht
11,107,205,107_tesla_auto_volkswagen_fahrzeuge
12,169,168,169_bayern_flick_münchen_bundesliga
13,120,167,120_infektionen_neuinfektionen_coronavirus_deutschland
14,100,167,100_unfall_a3_jährige_krankenhaus
15,103,157,103_beethoven_musik_beethovens_oper
16,21,129,21_tennis_slam_djokovic_weltranglisten
17,82,125,82_tiere_fleisch_wolf_elefanten
18,27,124,27_film_netflix_filme_hollywood
19,43,119,43_app_android_google_microsoft
20,159,119,159_liverpool_fc_manchester_champions
21,95,115,95_salz_butter_zucker_kochen
22,148,113,148_rtl_fernsehgarten_bauer_orridge
23,88,110,88_wasser_luft_reinigen_feuchtigkeit
24,71,107,71_biathlon_geiger_vierschanzentournee_oberstdorf
25,10,101,10_explosion_brand_feuer_ammoniumnitrat
26,102,94,102_bahn_frankfurt_straße_ice
27,6,92,6_bryant_gestorben_tod_wallow
28,91,91,91_china_hongkong_chinesischen_chinesische
29,48,91,48_xbox_playstation_microsoft_games
30,177,90,177_bundesliga_köln_trainer_fußball
31,111,89,111_lockdown_dezember_deutschland_neuinfektionen
32,93,85,93_brexit_großbritannien_brüssel_britische
33,133,82,133_impfstoff_virus_19_coronavirus
34,39,76,39_lukaschenko_belarus_proteste_tichanowskaja
35,171,72,171_bayern_trainer_bundesliga_hoeneß
36,62,65,62_türkei_erdogan_türkische_türkischen
37,136,65,136_yavuz_liebe_hochzeit_frauen
38,116,61,116_polizei_demonstration_demonstranten_demo
39,34,60,34_markus_merkel_spahn_österreich
40,131,59,131_daiana_sylvie_ballett_zizi
