,Topic,Words,Frequency,Class,Name
0,-1,"jetzt, euro, war, ihre, immer",1126,bild,-1_wenn_dann_mehr_gegen
1,0,"geschwindigkeitsanzeige, geschwindigkeitsbegrenzung, geschwindigkeitsbereiche, geschwindigkeitsgrenzwerte, geschwindigkeitsklasse",662,bild,0_geschwindigkeitsanzeige_geschwindigkei...
2,4,"spirituelle, bestsellerliste, waldbaden, belletristik, fitness",1,bild,4_fitness_übungen_workout_workouts
3,5,"kennedy, smith, perry, behns, tod",6,bild,5_kennedy_roxette_ashley_gestorben
4,6,"freiwald, tod, gestorben, starb, wrld",17,bild,6_bryant_gestorben_wallow_starb
5,7,"ferrari, schumacher, hamilton, mercedes, fahrer",38,bild,7_ferrari_hamilton_mercedes_fahrer
6,9,"flamingo, fischfarm, tornado, katastrophenschutz, betroffenen",4,bild,9_feuer_brände_australien_sydney
7,10,"feuerwehr, brand, feuer, explosion, pödelwitz",17,bild,10_explosion_brand_feuer_ammoniumnitrat
8,11,"quarterback, football, patriots, eagles, touchdown",7,bild,11_quarterback_patriots_touchdown_kansas
9,12,"brasilien, brasilianischen, brasiliens, 6ix9ine, brasil",4,bild,12_brasilien_bolivien_brasilianische_bra...
10,13,"astronauten, nasa, spacex, raumstation, raumfahrtbehörde",6,bild,13_nasa_spacex_astronauten_raumstation
11,14,"kometen, planeten, sternschnuppen, supernova, astronomen",10,bild,14_neutrinos_planeten_kometen_quarks
12,16,"kanzlerin, maxima, luftbrücke, rückholaktion, merkel",2,bild,16_cruises_tui_reederei_fridtjof
13,17,"verpuffung, teutschenthal, spätklassischen, steinsalzbergwerks, ruinenstätte",2,bild,17_himmel_jenseits_elhajani_israelis
14,18,"musk, mio, arbeitslosenbonus, tesla, mccrum",1,bild,18_wirecard_mccrum_siemens_braun
15,19,"marine, rosslare, pazifikflotte, uss, navy",3,bild,19_schiff_insel_küstenwache_rettungsschi...
16,20,"fidschi, marine, yacht, schiff, panama",3,bild,20_schiff_göttert_oltmanns_cruises
17,21,"tennis, australian, slam, williams, djokovic",25,bild,21_tennis_slam_djokovic_weltranglisten
18,23,"germanwings, eurowings, lufthansa, flüge, flugbegleiter",5,bild,23_lufthansa_germanwings_eurowings_hamme...
19,24,"eckardt, mandoki, soulmates, leslie, stratocaster",2,bild,24_schillerstraße_gottesdienste_gottesdi...
20,25,"sänger, mannheims, rtl, fremdenhass, cannon",5,bild,25_cannon_rtl_mannheims_travis
21,27,"film, joker, netflix, hollywood, kinos",27,bild,27_film_netflix_filme_hollywood
22,28,"alitalia, lufthansa, reisewarnung, flugplan, namibia",2,bild,28_lufthansa_airlines_airline_jetlines
23,29,"schäfer, küblböck, vechta, dileo, amtsgericht",3,bild,29_schäfer_setzer_holter_frauen
24,30,"zoo, klemmer, landsmann, germany, tierpark",5,bild,30_klemmer_germany_zoo_bonobos
25,31,"lufthansa, airline, ryanair, flüge, helikopter",2,bild,31_lufthansa_airlines_airline_flugzeuge
26,32,"flugzeug, airlines, airline, flughafen, flugzeuge",23,bild,32_airlines_flugzeug_flugzeuge_aeroteleg...
27,33,"wolkow, nawalnys, kreml, russland, tomsk",1,bild,33_russland_vergiftung_russischen_russis...
28,34,"konferenz, wirtshauswiesn, libyen, planbare, reservierungen",3,bild,34_csu_merkel_spahn_österreich
29,35,"ring, kampf, boxer, kämpfe, weltmeister",19,bild,35_ring_wilder_boxer_duell
30,36,"kardinal, gregorowicz, zölibats, vatikan, katholische",4,bild,36_drewermann_lindner_frauen_drewermanns
31,37,"zanardi, berardelli, italien, casigno, handbike",3,bild,37_italien_virus_italienischen_italiens
32,39,"lukaschenko, demonstranten, lgbt, proteste, protesten",6,bild,39_lukaschenko_belarus_proteste_tichanow...
33,41,"breakpoint, app, shooter, show, spieler",2,bild,41_roblox_spieler_kasparov_scrabble
34,42,"ambrosio, jasmine, alessandra, pool, bikini",2,bild,42_strand_insel_hanseatic_platz
35,43,"app, hacker, bitcoin, attacke, microsoft",6,bild,43_app_android_google_microsoft
36,47,"streaming, app, profaner, abonnierte, kulturpessimistischen",1,bild,47_mydlink_geräte_router_komponenten
37,48,"pokémon, playstation, avengers, xbox, spiele",4,bild,48_xbox_playstation_microsoft_games
38,49,"sofortbildkamera, sofortbildkameras, samsung, aufnahmen, sofortbildfotografie",2,bild,49_smartphone_apple_iphone_smartphones
39,51,"tierheim, schnauze, wachhund, schäferhund, kuhne",4,bild,51_hund_hunde_zeitmagazin_wölfe
40,52,"nathalie, laizers, edelsteine, bergmann, frank",2,bild,52_mortezai_borschtsch_trigema_ringier
41,53,"patricia, tennissocken, ratestar, verona, micaela",3,bild,53_mardini_markwitz_darß_schwimmflügel
42,55,"nordkorea, pjöngjang, wonsan, militärparaden, militärabkommens",2,bild,55_nordkorea_südkorea_nordkoreanischen_n...
43,56,"irak, volksmobilisierungseinheiten, irakischen, irakische, brigaden",1,bild,56_irak_irakischen_irakische_getötet
44,58,"georgien, kreml, russland, gorbatschow, georgischen",3,bild,58_russland_russischen_wladimir_lukasche...
45,59,"trump, präsident, donald, trumps, republikaner",19,bild,59_trump_trumps_donald_präsident
46,60,"lukaschenko, protesten, sanktionen, demonstranten, russland",2,bild,60_lukaschenko_belarus_sanktionen_russla...
47,61,"bildplus, batavia, sterne, rulantica, thematisierte",1,bild,61_jefferson_matisse_benedict_saillard
48,62,"türkei, erdogan, türkische, kanal, istanbul",4,bild,62_türkei_erdogan_türkische_türkischen
49,63,"libyen, libyschen, konferenz, chalifa, libysche",2,bild,63_libyen_libyschen_libysche_waffenembar...
50,65,"israel, paaren, lgbt, gleichgeschlechtliche, heiraten",1,bild,65_israel_annexion_israels_taliban
51,66,"depp, epstein, depps, andrew, beziehung",10,bild,66_depp_amber_weinstein_depps
52,69,"eishockey, edmonton, reindl, eis, buffalo",7,bild,69_eishockey_oilers_edmonton_russland
53,70,"france, roglic, pogacar, primoz, radsport",3,bild,70_tour_france_roglic_pogacar
54,71,"weltcup, luitz, geiger, biathlon, schmid",19,bild,71_biathlon_geiger_vierschanzentournee_o...
55,72,"betriebsrente, karstadt, baerbock, kaufhof, fachkräfte",2,bild,72_betriebsrente_karstadt_baerbock_kaufh...
56,73,"schreinemakers, lockdown, plastiktüten, banksy, knoblauch",10,bild,73_viele_zeit_menschen_mich
57,74,"weihnachtsbaum, schongau, baumgärtner, marienplatz, holstein",3,bild,74_weihnachtsbaum_melchior_kransberg_kön...
58,75,"spargel, spargelbauern, spargelernte, anbaufläche, eickhorst",1,bild,75_wald_plettenberg_ibisch_holz
59,76,"schneemassen, schnalstal, stecher, lawinenwarndienst, gletscherbahnen",1,bild,76_lawine_bergrettung_schneemassen_alpen
60,77,"feiern, lichterfest, weihnachten, tempels, buddha",2,bild,77_dezember_gardasee_chanukka_18
61,78,"antarktis, temperatur, erwärmung, klima, grönland",4,bild,78_gletscher_korallen_schlucht_frau
62,79,"meteorologe, wetterexperte, regen, kühler, meteorologen",7,bild,79_grönland_deutschland_amstetten_sonne
63,80,"schüler, schulen, schule, hirschhausen, lehrer",11,bild,80_schulen_schule_lehrer_unterricht
64,81,"kaffee, schaefer, kaffeemanufaktur, cola, brötchen",7,bild,81_bitburger_gluten_vöslauer_kaffee
65,82,"küken, sauen, schaf, bauern, deutschland",21,bild,82_fleisch_wolf_elefanten_bauern
66,83,"amphetamin, dealer, vertickt, ermittler, drogendealer",1,bild,83_gustafsson_kokain_rauschgift_medellín
67,84,"sexpuppen, missbrauchshandlungen, strafunmündigkeit, corona, hemmschwellen",4,bild,84_roller_illner_kanzlerin_gebhardt
68,85,"hisbollah, trump, deutschland, grenell, netzwerke",3,bild,85_trump_deutschland_bundesregierung_oba...
69,86,"brauchst, haus, 15, ausgangssperre, gülpens",1,bild,86_spanien_kanaren_reisewarnung_mallorca
70,87,"schwangerschaft, gebärmutter, schwangerschaften, ungeborene, schwanger",1,bild,87_endometriose_arzt_symptome_kinderarzt
71,88,"wasser, clean, leitungswasser, waschen, bakterien",13,bild,88_wasser_reinigen_feuchtigkeit_luftfeuc...
72,89,"henssler, mälzer, rach, jury, comedian",16,bild,89_lehmann_mälzer_henssler_yelp
73,90,"nordkorea, nordkoreas, südkorea, virus, diktator",1,bild,90_china_wuhan_virus_coronavirus
74,91,"hongkong, chinesischen, chinesische, hongkonger, hashtags",5,bild,91_china_hongkong_chinesischen_chinesisc...
75,92,"coordes, eichenprozessionsspinner, insekten, nest, mückenspray",2,bild,92_brotkäfer_insekten_nest_wespen
76,93,"brexit, brüssel, großbritannien, briten, britische",9,bild,93_brexit_großbritannien_brüssel_britisc...
77,94,"ungarn, trans, intersexuellen, ungarns, einkammern",1,bild,94_ungarn_brüssel_ungarns_ungarische
78,95,"burger, chili, essen, chilis, glukose",6,bild,95_salz_butter_zucker_kochen
79,96,"uganda, lgbt, homosexualität, homosexuelle, kampala",7,bild,96_grzegorz_uganda_gefängnis_bushido
80,97,"haarschneider, frisör, kühlschrank, babyliss, instagram",10,bild,97_haarschneider_schuhe_yarmolenko_dämpf...
81,98,"pilz, vereinsfarbe, breuing, bodenfeuchtigkeit, rasenpflege",1,bild,98_rosen_pflanzen_blüten_garten
82,100,"unfall, krankenhaus, fahrzeug, unfallstelle, jährige",40,bild,100_unfall_a3_jährige_krankenhaus
83,101,"mülheim, müllabfuhr, regionalbusse, trams, tanklasters",2,bild,101_bahn_baustelle_frankfurt_aldred
84,102,"hamburg, beiersdorf, mio, bahn, impfzentrum",9,bild,102_bahn_frankfurt_straße_ice
85,103,"song, beethoven, songs, konzert, delange",21,bild,103_beethoven_musik_beethovens_oper
86,104,"lohr, blakenham, ipswich, bruchmühlbach, klaute",7,bild,104_überfallen_geldautomaten_täter_räube...
87,105,"täter, krankenhaus, schüsse, frau, jähriger",7,bild,105_jährige_cornelia_staatsanwaltschaft_...
88,107,"tesla, auto, autos, fahrzeuge, elektro",23,bild,107_tesla_auto_volkswagen_fahrzeuge
89,108,"reim, schlager, herz, matthias, schlagerfest",1,bild,108_man_frauen_sondern_selbst
90,109,"ersatzspieler, trainerbänken, spielwertung, videoassistenten, einspruch",4,bild,109_watzke_werder_stindl_kuntz
91,110,"bear, impfstoff, cyber, kanada, industriespionage",1,bild,110_virus_coronavirus_schuld_pandemie
92,111,"luxemburg, wöhler, deutschland, neuinfektionen, tunesien",11,bild,111_lockdown_dezember_deutschland_neuinf...
93,113,"geissler, mäurer, szenarien, kajami, verseuchen",2,bild,113_hegel_weltgeist_hammouti_riexinger
94,114,"wöller, deubel, buchenwald, staatsanwaltschaft, leipzig",6,bild,114_warburg_lübcke_willms_staatsanwaltsc...
95,115,"mieter, miete, lambrecht, mieterbund, bundesjustizministerium",2,bild,115_mieter_vermieter_miete_mietvertrag
96,116,"csd, demo, kuschner, berlin, angemeldet",6,bild,116_polizei_demonstration_demo_demonstra...
97,117,"lürßen, lürssen, antriebsdiesel, wärmerückgewinnungssystem, abgassysteme",1,bild,117_gessner_musterhaus_vodafone_thyssen
98,120,"rki, neuinfektionen, infektionen, infizierten, intensivbetten",14,bild,120_infektionen_neuinfektionen_coronavir...
99,121,"moorburg, fessenheim, neubauer, atomkraftwerk, großkraftwerk",3,bild,121_hildebrand_energiewende_krause_klima...
100,123,"chinesische, chinesischen, virus, chefepidemiologe, brasilien",1,bild,123_pocken_coronavirus_virus_krankheit
101,124,"mundschutz, kemmerich, lindner, bundesvorstandssitzung, bundesvorstandsmitglied",1,bild,124_satire_strafanzeige_polizisten_wirec...
102,127,"sex, lust, romantik, sexuelle, orgasmus",4,bild,127_sex_partner_orgasmus_liebe
103,128,"instagram, fans, prinz, baby, model",78,bild,128_instagram_mutter_mode_familie
104,131,"eilish, ruby, rosenberg, taylor, metzger",20,bild,131_daiana_sylvie_ballett_zizi
105,132,"alpaka, ceylan, kebekus, füße, lombardi",3,bild,132_scholz_gavric_ceylan_nagelsmann
106,133,"impfstoff, virus, immunsystem, zytokinsturm, notfallgenehmigung",4,bild,133_impfstoff_virus_19_coronavirus
